id,matchid,player,championid,ss1,ss2,role,position
9,10,1,19,4,11,NONE,JUNGLE
0,0,0,42,0,0,NONE,MID
10,10,2,267,3,4,DUO_SUPPORT,BOT
11,10,3,119,7,4,DUO_CARRY,BOT
12,10,4,114,12,4,SOLO,TOP
13,10,5,112,4,3,SOLO,MID
14,10,6,72,11,4,NONE,JUNGLE
15,10,7,3,4,12,SOLO,TOP
16,10,8,103,14,4,SOLO,MID
17,10,9,222,7,4,DUO_CARRY,BOT
18,10,10,161,14,4,DUO_SUPPORT,BOT
19,11,1,115,3,4,DUO_SUPPORT,BOT
20,11,2,69,4,7,DUO_CARRY,BOT
21,11,3,157,14,4,SOLO,MID
22,11,4,4,4,12,SOLO,TOP
23,11,5,28,4,11,NONE,JUNGLE
24,11,6,51,7,4,DUO_CARRY,BOT
25,11,7,62,14,4,SOLO,TOP
26,11,8,134,4,1,SOLO,MID
27,11,9,43,14,4,DUO_SUPPORT,BOT
28,11,10,19,4,11,NONE,JUNGLE
29,12,1,119,4,7,DUO_CARRY,BOT
30,12,2,40,3,4,DUO_SUPPORT,BOT
31,12,3,99,4,21,SOLO,MID
32,12,4,32,4,11,NONE,JUNGLE
33,12,5,67,12,4,SOLO,TOP
34,12,6,103,14,4,SOLO,MID
35,12,7,254,11,4,NONE,JUNGLE
36,12,8,51,4,12,SOLO,TOP
37,12,9,267,3,4,DUO_SUPPORT,BOT
38,12,10,29,4,7,DUO_CARRY,BOT
39,13,1,7,14,4,SOLO,MID
40,13,2,222,4,7,DUO,BOT
41,13,3,19,4,11,NONE,JUNGLE
42,13,4,78,12,4,SOLO,TOP
43,13,5,238,4,14,DUO,BOT
44,13,6,18,4,7,DUO_CARRY,BOT
45,13,7,79,4,12,SOLO,TOP
46,13,8,11,4,11,NONE,JUNGLE
47,13,9,497,4,3,DUO_SUPPORT,BOT
48,13,10,127,4,14,SOLO,MID
49,14,1,61,12,4,SOLO,MID
50,14,2,6,12,4,SOLO,TOP
51,14,3,62,4,11,NONE,JUNGLE
52,14,4,51,4,7,DUO_CARRY,BOT
53,14,5,154,14,4,DUO_SUPPORT,BOT
54,14,6,236,4,7,DUO_CARRY,BOT
55,14,7,19,4,11,NONE,JUNGLE
56,14,8,43,4,3,DUO_SUPPORT,BOT
57,14,9,122,4,12,SOLO,TOP
58,14,10,25,4,14,SOLO,MID
59,15,1,21,7,4,DUO_CARRY,BOT
60,15,2,103,14,4,SOLO,MID
61,15,3,19,4,11,NONE,JUNGLE
62,15,4,412,4,3,DUO_SUPPORT,BOT
63,15,5,86,14,4,SOLO,TOP
64,15,6,267,3,4,DUO_SUPPORT,BOT
65,15,7,23,12,4,SOLO,TOP
66,15,8,64,11,4,NONE,JUNGLE
67,15,9,115,4,7,DUO_CARRY,BOT
68,15,10,157,4,12,SOLO,MID
69,16,1,11,11,4,NONE,JUNGLE
70,16,2,30,4,3,SOLO,MID
71,16,3,157,4,12,SOLO,TOP
72,16,4,236,4,7,DUO_CARRY,BOT
73,16,5,44,3,4,DUO_SUPPORT,BOT
74,16,6,38,4,14,SOLO,MID
75,16,7,75,12,4,SOLO,TOP
76,16,8,89,14,4,DUO_SUPPORT,BOT
77,16,9,29,7,4,DUO_CARRY,BOT
78,16,10,19,4,11,NONE,JUNGLE
79,17,1,11,11,4,NONE,JUNGLE
80,17,2,412,3,4,DUO_SUPPORT,BOT
81,17,3,222,4,7,DUO_CARRY,BOT
82,17,4,236,4,14,SOLO,MID
83,17,5,62,4,12,SOLO,TOP
84,17,6,122,4,6,SOLO,TOP
85,17,7,81,21,4,SOLO,MID
86,17,8,161,4,3,DUO_SUPPORT,BOT
87,17,9,51,7,4,DUO_CARRY,BOT
88,17,10,19,4,11,NONE,JUNGLE
89,18,1,99,4,14,SOLO,MID
90,18,2,22,7,4,DUO_CARRY,BOT
91,18,3,26,4,3,DUO_SUPPORT,BOT
92,18,4,59,12,4,SOLO,TOP
93,18,5,19,4,11,NONE,JUNGLE
94,18,6,412,4,3,DUO_SUPPORT,BOT
95,18,7,7,4,12,SOLO,MID
96,18,8,17,4,14,SOLO,TOP
97,18,9,64,4,11,NONE,JUNGLE
98,18,10,51,4,7,DUO_CARRY,BOT
99,19,1,420,4,12,SOLO,TOP
100,19,2,113,4,11,NONE,JUNGLE
101,19,3,96,7,4,DUO_CARRY,BOT
102,19,4,40,4,3,DUO_SUPPORT,BOT
103,19,5,84,14,4,SOLO,MID
104,19,6,127,4,14,SOLO,MID
105,19,7,236,7,4,DUO_CARRY,BOT
106,19,8,53,3,4,DUO_SUPPORT,BOT
107,19,9,58,4,12,SOLO,TOP
108,19,10,19,4,11,NONE,JUNGLE
109,20,1,40,4,3,DUO,BOT
110,20,2,236,4,7,DUO,BOT
111,20,3,62,12,4,SOLO,TOP
112,20,4,55,4,14,SOLO,MID
113,20,5,19,4,11,NONE,JUNGLE
114,20,6,245,4,14,SOLO,MID
115,20,7,498,4,7,DUO,BOT
116,20,8,497,4,3,DUO,BOT
117,20,9,75,4,12,SOLO,TOP
118,20,10,11,11,6,NONE,JUNGLE
119,21,1,157,4,14,SOLO,TOP
120,21,2,119,7,4,DUO_CARRY,BOT
121,21,3,79,4,11,NONE,JUNGLE
122,21,4,38,4,14,SOLO,MID
123,21,5,40,4,3,DUO_SUPPORT,BOT
124,21,6,497,4,14,DUO_SUPPORT,BOT
125,21,7,498,12,4,DUO_CARRY,BOT
126,21,8,105,14,4,SOLO,MID
127,21,9,19,4,11,NONE,JUNGLE
128,21,10,98,12,4,SOLO,TOP
129,22,1,19,4,11,NONE,JUNGLE
130,22,2,12,3,4,DUO_SUPPORT,BOT
