matchid,teamid,championid,banturn
10,100,11,1
10,100,117,3
10,100,120,5
10,200,84,2
10,200,201,4
10,200,105,6
11,100,117,1
11,100,53,3
11,100,114,5
11,200,79,2
11,200,107,4
11,200,498,6
12,100,122,1
12,100,157,3
12,100,114,5
12,200,11,2
12,200,498,4
12,200,38,6
13,100,245,1
13,100,64,3
13,100,120,5
13,200,157,2
13,200,122,4
13,200,113,6
14,100,134,1
14,100,55,3
14,100,157,5
14,200,120,2
14,200,35,4
14,200,11,6
15,100,114,1
15,100,28,3
15,100,122,5
15,200,245,2
15,200,51,4
15,200,55,6
16,100,3,1
16,100,23,3
16,100,55,5
16,200,41,2
16,200,120,4
16,200,113,6
17,100,117,1
17,100,113,3
17,100,119,5
17,200,157,2
17,200,498,4
17,200,57,6
18,100,157,1
18,100,35,3
